Date	2022	2021	2020	2019
01-04-2022	1666715	766594	1806480	1975947
01-03-2022	1916499	1080346	2210542	2150571
01-02-2022	2023309	1327289	2422272	2202111
01-01-2022	1616316	1192881	2178656	2345103
12-31-2021		1650795	805990	2311732
12-30-2021		2049604	874406	2392331
12-29-2021		2017937	1163696	2133253
12-28-2021		1995747	1019347	2009880
12-27-2021		2089186	1111751	2500396
12-26-2021		2070554	1284599	2575985
12-25-2021		1533398	1128773	2470786
12-24-2021		1709601	616469	2582580
12-23-2021		2187792	846520	2552194
12-22-2021		2081297	1191123	1937235
12-21-2021		1979089	992167	1981433
12-20-2021		2098540	954782	2490503
12-19-2021		2118528	1064619	2519399
12-18-2021		2035273	1073563	2487987
12-17-2021		2233754	1066747	2608088
12-16-2021		2062579	846934	2471408
12-15-2021		1762920	641966	2234374
12-14-2021		1520251	552024	2009112
12-13-2021		1912915	752451	2250386
12-12-2021		2040364	865014	2300248
12-11-2021		1669737	662380	1893871
12-10-2021		2045674	787489	2388029
12-09-2021		1959937	754307	2362310
12-08-2021		1610785	564372	2020488
12-07-2021		1459054	501513	1897051
12-06-2021		1854048	703546	2226290
12-05-2021		2068792	837137	2292079
12-04-2021		1566729	629430	1755801
12-03-2021		1952294	753951	2278205
12-02-2021		1866275	738050	2262878
12-01-2021		1660506	632356	2054380
11-30-2021		1810460	780283	2280403
11-29-2021		2237087	981912	2591470
11-28-2021		2451300	1176091	2882915
11-27-2021		2208192	964630	2648268
11-26-2021		1778983	820399	1968137
11-25-2021		1382230	560902	1591158
11-24-2021		2311978	1070967	2624250
11-23-2021		2207949	912090	2435170
11-22-2021		2081064	917354	2254188
11-21-2021		2213716	1047934	2321546
11-20-2021		2004579	984369	2194291
11-19-2021		2242956	1019836	2550459
11-18-2021		2044545	907332	2428095
11-17-2021		1624511	703135	2071631
11-16-2021		1491890	611497	1900895
11-15-2021		2010601	883157	2298856
11-14-2021		2150150	978297	2396681
11-13-2021		1559772	697360	1807230
11-12-2021		2001439	881579	2437211
11-11-2021		2064753	866679	2364920
11-10-2021		1691526	674633	2072207
11-09-2021		1456657	596475	2150003
11-08-2021		1955530	836600	2465392
11-07-2021		2152721	973020	2356349
11-06-2021		1527465	689951	1908805
11-05-2021		2035406	895091	2544350
11-04-2021		1940302	867105	2507365
11-03-2021		1525948	636533	2147882
11-02-2021		1487874	575829	2005101
11-01-2021		1992577	846138	2403304
10-31-2021		1845965	936092	2459525
10-30-2021		1518020	618476	1836781
10-29-2021		1982773	892712	2319906
10-28-2021		1927041	873636	2047910
10-27-2021		1547075	666957	2066516
10-26-2021		1503587	648517	1910506
10-25-2021		1989373	898735	2347017
10-24-2021		2107839	983745	2478287
10-23-2021		1626185	755287	1931971
10-22-2021		2108582	958437	2594337
10-21-2021		2046694	934386	2541581
10-20-2021		1647089	694150	2245199
10-19-2021		1446353	662484	2126637
10-18-2021		2001297	921031	2514673
10-17-2021		2213296	1031505	2606266
10-16-2021		1704466	788743	2049855
10-15-2021		2070878	973046	2637667
10-14-2021		2048398	950024	2581007
10-13-2021		1641419	717940	2317763
10-12-2021		1695970	680894	2313632
10-11-2021		2083627	958440	2616771
10-10-2021		2086146	984234	2555333
10-09-2021		1645563	769868	2074718
10-08-2021		2169783	968545	2688032
10-07-2021		2063090	936915	2605291
10-06-2021		1563565	668519	2215233
10-05-2021		1390201	590766	2035628
10-04-2021		1842054	816838	2400153
10-03-2021		2100167	900911	2542118
10-02-2021		1534114	677661	1921185
10-01-2021		2011794	857186	2526835
09-30-2021		1934592	855908	2447687
09-29-2021		1448369	634046	2082179
