Date	Footfall_count
09-04-2020	664640
09-05-2020	689630
09-06-2020	935308
09-07-2020	704075
09-08-2020	616923
09-09-2020	755051
09-10-2020	731353
09-11-2020	613703
09-12-2020	809850
09-13-2020	729558
09-14-2020	522383
09-15-2020	577847
09-16-2020	784746
09-17-2020	812214
09-18-2020	638575
09-19-2020	847968
09-20-2020	769936
09-21-2020	549741
09-22-2020	608726
09-23-2020	826316
09-24-2020	826329
09-25-2020	659350
09-26-2020	873038
09-27-2020	797699
09-28-2020	568688
09-29-2020	634046
09-30-2020	855908
10-01-2020	857186
10-02-2020	677661
10-03-2020	900911
10-04-2020	816838
10-05-2020	590766
10-06-2020	668519
10-07-2020	936915
10-08-2020	968545
10-09-2020	769868
10-10-2020	984234
10-11-2020	958440
10-12-2020	680894
10-13-2020	717940
10-14-2020	950024
10-15-2020	973046
10-16-2020	788743
10-17-2020	1031505
10-18-2020	921031
10-19-2020	662484
10-20-2020	694150
10-21-2020	934386
10-22-2020	958437
10-23-2020	755287
10-24-2020	983745
10-25-2020	898735
10-26-2020	648517
10-27-2020	666957
10-28-2020	873636
10-29-2020	892712
10-30-2020	618476
10-31-2020	936092
11-01-2020	846138
11-02-2020	575829
11-03-2020	636533
11-04-2020	867105
11-05-2020	895091
11-06-2020	689951
11-07-2020	973020
11-08-2020	836600
11-09-2020	596475
11-10-2020	674633
11-11-2020	866679
11-12-2020	881579
11-13-2020	697360
11-14-2020	978297
11-15-2020	883157
11-16-2020	611497
11-17-2020	703135
11-18-2020	907332
11-19-2020	1019836
11-20-2020	984369
11-21-2020	1047934
11-22-2020	917354
11-23-2020	912090
11-24-2020	1070967
11-25-2020	560902
11-26-2020	820399
11-27-2020	964630
11-28-2020	1176091
11-29-2020	981912
11-30-2020	780283
12-01-2020	632356
12-02-2020	738050
12-03-2020	753951
12-04-2020	629430
12-05-2020	837137
12-06-2020	703546
12-07-2020	501513
12-08-2020	564372
12-09-2020	754307
12-10-2020	787489
12-11-2020	662380
12-12-2020	865014
12-13-2020	752451
12-14-2020	552024
12-15-2020	641966
12-16-2020	846934
12-17-2020	1066747
12-18-2020	1073563
12-19-2020	1064619
12-20-2020	954782
12-21-2020	992167
12-22-2020	1191123
12-23-2020	846520
12-24-2020	616469
12-25-2020	1128773
12-26-2020	1284599
12-27-2020	1111751
12-28-2020	1019347
12-29-2020	1163696
12-30-2020	874406
12-31-2020	805990
01-01-2021	1192881
01-02-2021	1327289
01-03-2021	1080346
01-04-2021	766594
01-05-2021	665855
01-06-2021	771734
01-07-2021	772471
01-08-2021	709444
01-09-2021	886536
01-10-2021	708177
01-11-2021	520117
01-12-2021	567401
01-13-2021	803688
01-14-2021	903039
01-15-2021	690438
01-16-2021	810654
01-17-2021	878048
01-18-2021	560190
01-19-2021	542338
01-20-2021	728978
01-21-2021	755028
01-22-2021	603527
01-23-2021	838116
01-24-2021	701709
01-25-2021	468933
01-26-2021	536935
01-27-2021	750558
01-28-2021	774688
01-29-2021	617489
01-30-2021	859039
01-31-2021	628989
02-01-2021	493338
02-02-2021	618615
02-03-2021	778065
02-04-2021	868624
02-05-2021	705951
02-06-2021	854636
02-07-2021	864783
02-08-2021	617619
02-09-2021	735009
02-10-2021	1034514
02-11-2021	1151420
02-12-2021	900696
02-13-2021	946458
02-14-2021	967693
02-15-2021	738825
02-16-2021	773422
02-17-2021	914823
02-18-2021	1059452
02-19-2021	942238
02-20-2021	1115479
02-21-2021	963280
02-22-2021	714725
02-23-2021	802230
02-24-2021	1051149
02-25-2021	1096348
02-26-2021	917282
02-27-2021	1190682
02-28-2021	1049692
03-01-2021	744812
03-02-2021	826924
03-03-2021	1107534
03-04-2021	1168734
03-05-2021	992406
03-06-2021	1278557
03-07-2021	1119303
03-08-2021	825745
03-09-2021	974221
03-10-2021	1286894
03-11-2021	1409771
03-12-2021	1227484
03-13-2021	1345284
03-14-2021	1267345
03-15-2021	1092548
03-16-2021	1146539
03-17-2021	1413141
03-18-2021	1477841
03-19-2021	1373259
03-20-2021	1543136
03-21-2021	1360290
03-22-2021	1076453
03-23-2021	1164954
03-24-2021	1444744
03-25-2021	1535156
03-26-2021	1408198
03-27-2021	1574228
03-28-2021	1406234
03-29-2021	1130520
03-30-2021	1278113
